text,label,seed
When should we leave la to get six flags if we want to be there by 10am?,3,when should we leave la to get six flags if we want to be therer by 10 am ?
the fog slows down the motorway 5,5,is the fog slowing down freeway 5
"If I leave here at 5 in the morning, when will I get to Santa Cruz?",2,"if i leave here at 5 am , when will i get to santa cruz ?"
How long does the train to Chicago take?,4,how long does the train take to chicago
"I have a doctor's appointment at 2pm, do I have to go now to be on time?",3,"i have a doctors appointment at 2 pm , do i need to leave now to make it on time ?"
When do I have to leave lynnwood to get to bothell by 8am?,3,what time do i have to leave lynnwood to arrive in bothell by 8 am ?
Greenville to Charleston,1,miles from greenville to charleston
"what is the traffic driving from cranford to new hope, pa",6,"what is the traffic driving from cranford to new hope , pa"
ll make it to the cinema in time,2,will i make it to the movies in time
What time should I go on Sunday mornings if I have to be in Colombia by 10 a.m.?,3,what time should i leave on sunday morning if i need to be in columbia by 10 am
Can I get to my girlfriend by 5pm?,2,will i make it to my girlfriend 's by 5 pm ?
Are the roads icy on the ground?,5,are the local roads icy ?
How long will it take to get to Guarulhos Airport from here if I leave now?,4,how long will it take me to get to guarulhos airport from here if i leave right now ?
How much time should I take to make it to the game by 6 p.m.?,3,what time should i leave to make it to the lakers game by 6 pm ?
what's the traffic driving from Glendale to Surprise,6,what is the traffic driving from glendale to surprise
What is the quickest way home?,0,whats the fastest route home
When do I have to leave lynnwood to get to bothell by 8am?,3,what time do i have to leave lynnwood to arrive in bothell by 8 am ?
When do I have to leave my dentist appointment to get to the doctor's appointment at 2 pm?,3,what time do i need to leave my dentist appointment to make it to my doctor 's appointment at 2 ?
How long will it take to get to work this morning?,4,how long will it take me to get to work this morning
which way is quicker to mark house,0,which way is faster to marks house
Are the roads to Main Street in Portland polluted this morning?,5,are the road to main st in portland fuggy this morning ?
how much driving time is needed from cupertino to san jose.,4,how much driving time is needed from cupertino to san jose .
how is the traffic on the i-91 towards Springfield,6,how is the traffic on i - 91 towards springfield
Are the airlines closed due to the weather?,5,are the airlines shut down due to weather
Distance to Salt Lake City,1,distance to salt lake city
"Which Route to Raleigh, NC Has No Toll Roads",0,"what route to raleigh , nc has no toll roads"
what is the travel time between philadelphia and richmond,4,what is the driving time between philadelphia and richmond
What do the current road conditions between work and home look like when I go now?,5,what do the current road conditions between work and home look like if i leave now ?
the traffic this morning is bad,6,is traffic bad this morning
When will I meet Gilbert?,2,when will i get to gilbert ?
When should I leave the office if I want to be at the National Museum at 5 p.m.?,3,what time should i leave the office if i want to be in the national museum at 5 pm ?
Greenville to Charleston,1,miles from greenville to charleston
Can I arrive on time for my breakfast meeting if I leave in 5 minutes?,2,can i get to my breakfast meeting on time if i leave in 5 minutes ?
What is the traffic like on my street today?,6,how is traffic on my street today
Fastest route home,0,fastest route home
How far is the airport from here?,1,how far is the airport from here
Give me the way to the State Fair by taking the toll roads and leaving at 10 am.,0,"give me directions to the state fair by taking toll roads , leaving at 10 in the morning ."
Traffic on the i - 10 East,6,traffic on the i - 10 east
new york to new jersey how many miles,1,new york to new jersey how many miles
How far is Chicago from Milwaukee?,1,how far is chicago to milwaukee
What time should I take to make it to the game in Leverpool today?,3,what time should i leave to make it to the liverpool game today ?
"if I leave at 9 o'clock, I will make it to Solon by 10 o'clock",2,if i leave at 9 am will i make it to solon by 10 am from lakeview
Can I get from here to galveston before 6 p.m.?,2,can i get from here to galveston before 6 pm ?
new york to new jersey how many miles,1,new york to new jersey how many miles
"if I leave lift in 5 minutes, how much time would I get home?",2,if i leave heb in 5 minutes what time would i get home ?
Are the roads near my house icy?,5,are the roads icy near my house ?
Are there any shortcuts I can take to get from my workplace to Allison's house by 4pm?,0,are there any shortcuts i can take to get from my job to allison 's house by 4 pm ?
Are the roads icy on the way to kim's tonight?,5,are the roads icy on the way to kim 's tonight ?
"Get a description of disney world from tallahassee, florida and avoid highways.",0,"get directions to disney world from tallahassee , florida , avoiding expressways ."
How far is my house from Tina's house?,1,what is the distance from my house to tina 's house
When should I go if I want to ride my bike to Grovertown by 2 a.m.?,3,when should i leave if i want to bike to grovertown by 2 ?
what is the distance from toledo to cincinnati and miles by car,1,what 's the distance from toledo to cincinnati and miles by car
Are there trees on the orange street in Athens?,5,are there any trees down on orange road in athol ?
can I get to Wall Street by taxi until 23: 00?,2,can i get to wall street by 11 : 00 pm with taxi ?
Tell me the distance between here and funny,1,tell me the distance between here and merrill
When will I get home?,2,when will i get home
How much time should I take from work if I want to get home at 4pm?,3,what time should i leave work if i want to get home at 4 pm
When should I leave the office if I want to be at the National Museum at 5 p.m.?,3,what time should i leave the office if i want to be in the national museum at 5 pm ?
How long will it take me to get to San Francisco from here if I leave now?,4,how long will it take me to get to san francsico china town from here if i leave now ?
Are there traffic obstructions due to road works?,6,are there any traffic delays due to road construction
How long will it take to get to Elmwood Park?,4,how long will it take me to get to elmwood park zoo
"If I leave Texas Stadium at 10: 30 p.m., when will I get home?",2,"if i leave texas stadium at 10 : 30 pm , what time will i get home"
How long will I stand in a traffic jam,4,how long will i be in traffic for
"How many miles from here to Iselin, new jersey?",1,"how many miles from here to iselin , new jersey ?"
When do I have to leave work to make it to Madison Square Garden by 9 p.m.?,3,what time do i need to leave work from to make it to madison square garden by 9 pm
Please show me detours to go home now and avoid all highways,6,please show me any detours for going home right now avoiding all highways
Which way do I go from home to the kent state campus?,0,what direction do i head from home to get to the kent state campus ?
"We got a lot of rain, some local roads are closed.",5,we have got a lot of rain are there any local roads closed because of it .
When am I expected to go to the airport?,2,when am i expected to get to the airport
What is the distance between Salem and Neuberg?,1,what 's the distance between salem and newberg
Can you tell me how long it will take me to get to Charlotte?,4,can you tell me how long it will take me to get to charlotte
How long will it take me to get to tawnia's house in boise if I leave my mother's house now?,4,"how long will it take me to get to tawnia 's house in boise , if i leave my mom 's house now ?"
What time do I need to leave the curtain to get home at 8 o'clock this evening?,3,what time do i need to leave vail to get home by 8 tonight
When do I arrive at the mall when I leave my house at 7: 15 a.m.?,2,when will i arrive at the mall if i leave my house at 7 : 15
"If I leave my meeting at 3: 15 p.m. and drive home on the highway, how long would it take me?",4,"leaving my meeting at 3 : 15 and taking the freeway home , how long would it take me ?"
how far away am I from the nearest rest area,1,how far am i from the nearest rest stop
how much driving time is needed from cupertino to san jose.,4,how much driving time is needed from cupertino to san jose .
when should I leave the hair salon kris to get to heba's wedding before 7pm?,3,what time should i leave kris hair salon to reach heba 's wedding before 7 pm ?
How long does the train to Chicago take?,4,how long does the train take to chicago
how far is miami from new york by car,1,how far is miami from new york by car
How long is my way to work when I go now,4,how long is my drive to work if i leave now
Fastest way to hospital,0,fastest route to hospital
How long will it take to get to my doctor's appointment at 3pm if I'm not driving on the motorway?,4,how long will it take to get to my doctors appointment at 3 pm if i don't take the highway
When will I meet Gilbert?,2,when will i get to gilbert ?
When should I leave my house to get downtown by 5 p.m.?,3,what time should i leave my house to get downtown by 5 pm
When should I go to get to Winnipeg by 6 p.m.?,3,when should i leave to get to winnipeg by 6 pm ?
"what is the distance between key west, florida and huntington, new york",1,"what is the distance between key west , florida and huntington , new york"
"Will the city center be flooded by the Kastanienallee, which leads into the city?",5,is there flooding downtown by the fort pitt bridge going into town ?
What do the current road conditions between work and home look like when I go now?,5,what do the current road conditions between work and home look like if i leave now ?
Are there other routes to Charleston that don't cross the freeways that will take me there tonight at 9 p.m.?,0,are there other routes to charleston that do not take the interstates that will get me there by 9 pm tonight ?
Calculate the time it would take to reach San Francisco from Seattle if you are traveling at 65 km / h,4,calculate the time it would take to get to san francisco from seattle if traveling at 65 mph
When should I go if I want to ride my bike to Grovertown by 2 a.m.?,3,when should i leave if i want to bike to grovertown by 2 ?
Please show me detours to go home now and avoid all highways,6,please show me any detours for going home right now avoiding all highways
When can I expect to arrive in St Louis when I leave at 8am tomorrow?,2,when can i expect to arrive in st . louis if i leave tomorrow at 8 am ?
How long would it take to drive from home to San Francisco?,4,how long would it take to drive from home to san francisco
When should I go to be at Rachel's until 5pm?,3,when should i leave to be at rachel 's by 5 pm ?
When do I have to leave the house to get to the party at 5am?,3,when do i need to leave home to get to the party by 5
Fastest route home,0,fastest route home
What time should I go to make it to my 9: 00 a.m. meeting?,3,what time should i leave to make it to my 9 : 00 a.m . meeting
Which way do I go from home to the kent state campus?,0,what direction do i head from home to get to the kent state campus ?
How much time should I take to make it to the jubilee centre by five o'clock?,3,what time should i leave to make it to the jubilee center by five
"what is the quickest way to Washington, DC",0,"what is the fastest route to washington , dc"
When should I go to work at 8am?,3,when should i leave to get to work at 8 am
Are the paths between here and the devil's play plowed?,5,have the roads between here and the devil 's game been plowed ?
Show me the way home,0,show me the direction to home
What time should I go to make it to my 9: 00 a.m. meeting?,3,what time should i leave to make it to my 9 : 00 a.m . meeting
how many miles between san juan and minneapolis,1,how many miles between san juan and minneapolis
at what time will I be at work when I go now,2,what time will i be at work if i leave now
how far away am I from the nearest rest area,1,how far am i from the nearest rest stop
How far is the airport from here?,1,how far is the airport from here
Can I ride my bike in Fort Collins this morning because of the road conditions?,5,can i drive the bike in fort collins this morning due to the road conditions
How long will it take me to get to tawnia's house in boise if I leave my mother's house now?,4,"how long will it take me to get to tawnia 's house in boise , if i leave my mom 's house now ?"
How long would it take to drive from home to San Francisco?,4,how long would it take to drive from home to san francisco
When do I have to leave lynnwood to get to bothell by 8am?,3,what time do i have to leave lynnwood to arrive in bothell by 8 am ?
How long do I have to leave my house to get to the doctor's appointment at 2pm on Monday?,3,what time do i need to leave my house to get to my doctor 's appointment on monday at 2 pm ?
The quickest way to get me from home to the House of Dan is without taking the motorway and avoiding the toll.,0,get me the fastest way from home to dan 's house without taking the freeway and avoiding toll .
How long will it take to get to Joe's house when I leave at 8am?,4,how long will it take to get to joe 's house if i leave at 8 am
I'll make it to my sister's house for dinner by 6 p.m. if I go by 4: 30 p.m.,2,will i make it to sister 's house by 6 pm for dinner if i leave by 4 : 30 pm
How long is my way home tonight,4,how long is my commute home tonight
Traffic update now,6,traffic update now
When should I go to be at Rachel's until 5pm?,3,when should i leave to be at rachel 's by 5 pm ?
"When we leave the church at 12 o'clock, at what time will we be in the uncle's house?",2,if we leave church at 12 pm at what time we will be in uncle 's tom house
how many miles is it from Biloxi to new orleans,1,how many miles is it from biloxi to new orleans
Are the paths to the nearest hospital clear?,5,are the roads to the nearest hospital clear ?
can I reach Cairo by bus today until 19: 00?,2,can i get cairo by 7 pm by bus today ?
the fog slows down the motorway 5,5,is the fog slowing down freeway 5
Are there any shortcuts I can take to get from my workplace to Allison's house by 4pm?,0,are there any shortcuts i can take to get from my job to allison 's house by 4 pm ?
how many miles is it from la to hawaii,1,how many miles is it from la to hawaii
Are there floods in the belt?,5,are there any flooding in the belt parkway ?
"If I take the bus now, can I get to work by 7am?",2,if i take the bus now can i reach my work by 7 am ?
Are there any traffic accidents in my area?,6,are there any traffic accidents in my area
What is the traffic like on my street today?,6,how is traffic on my street today
Who is the traffic sweeper?,6,who 's the traffic home
What time will Abeer arrive here when she leaves her clinic at 7pm?,2,what time will abeer arrive here if she left her clinic at 7 pm ?
Is there fog on Highway 43 between Greenville and Conetoe this morning?,5,is there any fog on hwy 43 between greenville and conetoe this morning ?
Are the roads icy on the way to kim's tonight?,5,are the roads icy on the way to kim 's tonight ?
How long will it take to get to work this morning?,4,how long will it take me to get to work this morning
Diversions for traffic,6,traffic detours
new york to new jersey how many miles,1,new york to new jersey how many miles
how far is it to Minneapolis,1,how far is it to minneapolis
Traffic jam on the rt 690,6,is traffic backed up on rt 690
"If I leave the art festival at 9 p.m., when will I make it home?",2,if i leave art festival at 9 pm what time i will make it home ?
How much time should I take to get to work at 8 in the morning?,3,what time should i leave to make it to work at 8 am
ll make it to the cinema in time,2,will i make it to the movies in time
Calculate the time it would take to reach San Francisco from Seattle if you are traveling at 65 km / h,4,calculate the time it would take to get to san francisco from seattle if traveling at 65 mph
When will I come to my aunt's house if I leave now?,2,when will i get to my aunt 's house if i leave now ?
What is my eta to home,2,what is my eta until home
I will be in the centre of Barclay until 7pm due to the current traffic conditions,2,will i be at the barclay 's center by 7 pm under current traffic conditions
What time should I go to make it to my 9: 00 a.m. meeting?,3,what time should i leave to make it to my 9 : 00 a.m . meeting
Greenville to Charleston,1,miles from greenville to charleston
"If I leave here at 5 in the morning, when will I get to Santa Cruz?",2,"if i leave here at 5 am , when will i get to santa cruz ?"
Can you tell me how to get a universal city walk without using the i4 from my home?,0,can you tell me how to get to universal city walk without using i4 from my house
What are the road conditions like?,5,how are road conditions
How do I get to work and avoid most people?,0,how can i get to work while avoiding the most people
I want to come to the regional park in cerritos without schusterblvd.,0,i want to get to regional park in cerritos without using shoemaker blvd .
Is there flooding on the motorway right now?,5,is there flooding on the freeway right now ?
Fastest way to hospital,0,fastest route to hospital
How long will it take to get to work this morning?,4,how long will it take me to get to work this morning
"if I walk, do I manage up to pv days before noon?",2,"if i walk , can i make it to pv days before noon ?"
how many miles between colorado and washington,1,how many miles between colorado and washington
What do the current road conditions between work and home look like when I go now?,5,what do the current road conditions between work and home look like if i leave now ?
Can you tell me how long it will take me to get to Charlotte?,4,can you tell me how long it will take me to get to charlotte
How long before we get to the haunted house on the h street,4,how long before we get to the haunted house on h street
"I have a doctor's appointment at 2pm, do I have to go now to be on time?",3,"i have a doctors appointment at 2 pm , do i need to leave now to make it on time ?"
When should I go if I want to ride my bike to Grovertown by 2 a.m.?,3,when should i leave if i want to bike to grovertown by 2 ?
"when I am here now, do I pass through floodwaters on my way to the shore?",5,"if i here now , will i drive through flooding on the way to the bank ?"
"if I leave at 9 o'clock, I will make it to Solon by 10 o'clock",2,if i leave at 9 am will i make it to solon by 10 am from lakeview
Is there a faster route?,0,is there a faster route available
Are there currently floods on the Gallows Strait?,5,is there any flooding aking place on galm road right now ?
Will I encounter flooding this morning?,5,will i encounter flooding on 8mile this morning ?
how much traffic there is on the 290,6,how much traffic is on the 290
when should i go if i have to be in carolina ave. tooth until 3 p.m.,3,what time should i leave if i need to be at carolina ave . dental by 3 pm
What are the road conditions like?,5,how are road conditions
Are there floods on rivers?,5,is there flooding on river rd ?
Show me the quickest way home,0,show me the fastest route home
When will I see the doctor if I go now?,2,what time will i arrive to the doctor 's if i leave now ?
how many miles between san juan and minneapolis,1,how many miles between san juan and minneapolis
will I come across broken power lines on the way to santa barbara?,6,will i run into downed power lines on the way to santa barbara ?
Are there icy roads on the way to my massage appointment?,5,are there any icy roads on the way to my massage appointment ?
What is my eta to home,2,what is my eta until home
What is the distance between Rochester and New York City?,1,what is the distance between rochester and new york city
Will the streets be cleared as I drive to 5th Ave now?,5,will the roads be cleared if i leave now to get to 5th ave ?
"if I leave lift in 5 minutes, how much time would I get home?",2,if i leave heb in 5 minutes what time would i get home ?
Are there floods on rivers?,5,is there flooding on river rd ?
how far away is georgia from hawaii,1,how far away is georgia from hawaii
the paths to my office are still plowed,5,are the roads to my office plowed yet
the traffic this morning is bad,6,is traffic bad this morning
Please tell me the traffic for this morning,6,please tell me the traffic for this morning
Are there floods in the belt?,5,are there any flooding in the belt parkway ?
How long will it take to get to Elmwood Park?,4,how long will it take me to get to elmwood park zoo
how many miles is fl,1,how many miles is fl
Are there floods on rivers?,5,is there flooding on river rd ?
How long will it take to get to edison if I leave now?,4,how much time will it take to get to edison if i leave now ?
how far is portland from san francisco,1,how far is portland from san francisco
new york to new jersey how many miles,1,new york to new jersey how many miles
"what is the distance between key west, florida and huntington, new york",1,"what is the distance between key west , florida and huntington , new york"
how big is the distance between new york and florida,1,what is the distance between new york and florida
What is the distance between Rochester and New York City?,1,what is the distance between rochester and new york city
how far is portland from san francisco,1,how far is portland from san francisco
When should we leave la to get six flags if we want to be there by 10am?,3,when should we leave la to get six flags if we want to be therer by 10 am ?
What time do I need to leave the curtain to get home at 8 o'clock this evening?,3,what time do i need to leave vail to get home by 8 tonight
When should I go to get into town by noon?,3,when should i leave to get to town by noon
What do you do to avoid traffic?,0,what is the route to take to avoid traffic
How long should I stay here to arrive at the cruise ship pier tomorrow morning at 6 a.m.?,3,what time should i leave here to get to the cruise ship dock by 6am tomorrow morning ?
Fastest way to hospital,0,fastest route to hospital
the paths to my office are still plowed,5,are the roads to my office plowed yet
Is there a destroyed power in Giza City?,5,is there any downed power to giza city ?
how long do I get to the edc-rave when I cycle along las vegas boulevard?,4,how long will i get to the edc rave if i drive along the las vegas boulevard ?
Are the roads icy on the way to kim's tonight?,5,are the roads icy on the way to kim 's tonight ?
Can I arrive at the bellevue until 9: 00 am under the current traffic conditions?,2,can i get to bellevue by 9 : 00 with the current traffic conditions ?
how far is portland from san francisco,1,how far is portland from san francisco
ll make it to the cinema in time,2,will i make it to the movies in time
What time should I go to make it to my 9: 00 a.m. meeting?,3,what time should i leave to make it to my 9 : 00 a.m . meeting
Obstacles on the way to work,6,any obstructions on my way to work
How do I get traffic from Tampa to Miami when I leave at 5 a.m.?,6,how is traffic driving from tampa to miami if i leave by 5 am
Can I get to the doctor's office in 15 minutes if I am at home by 12 noon?,2,can i get to the doctor 's office in 15 minutes if i leave home by 12pm ?
Give me the way to the State Fair by taking the toll roads and leaving at 10 am.,0,"give me directions to the state fair by taking toll roads , leaving at 10 in the morning ."
How long is it to walk around this structure?,4,how long is it to go around this construction
which way is quicker to mark house,0,which way is faster to marks house
How long is the journey to the Catskills from Pennsylvania?,4,how long is the drive to the catskills from pennsylvania
can I reach Cairo by bus today until 19: 00?,2,can i get cairo by 7 pm by bus today ?
"Driveway to Baltimore, how it looks with the traffic",6,driving in to baltimore what 's the traffic like
I can now make it to Providence in 10 minutes,2,can i make it to providence in 10 minutes right now
What do the current road conditions between work and home look like when I go now?,5,what do the current road conditions between work and home look like if i leave now ?
How do I get traffic from Tampa to Miami when I leave at 5 a.m.?,6,how is traffic driving from tampa to miami if i leave by 5 am
How far is the stadium from my current location?,1,how far is the stadium from my current location ?
Will I make it to the concert in time if I stop to get Monica?,2,leaving in 5 min will i make it to the concert ontime if i stop to pick up monica ?
How long will it take to get to Guarulhos Airport from here if I leave now?,4,how long will it take me to get to guarulhos airport from here if i leave right now ?
Can I ride my bike in Fort Collins this morning because of the road conditions?,5,can i drive the bike in fort collins this morning due to the road conditions
What is this morning's commute time?,4,what is this morning 's commute time
How much of this travel time is a construction-related delay?,4,how much of this travel time is a delay because of construction ?
Traffic on Highway 75 southbound,6,is there traffic on highway 75 south
"Up-to-date traffic reports, please",6,latest traffic news please
"what is the quickest way to Washington, DC",0,"what is the fastest route to washington , dc"
"If I want to make it to the city by 12 o'clock, how much time do I need to leave my house in the morning?",3,"if i want to make it to ny city by 12 pm , what time i need to leave my house in the morning"
Flying kilometers between Alabama and Georgia,1,"mileage , by flight , between alabama and georgia"
Can I get from here to vancouver tonight at 7 o'clock?,2,can i get from here to vancouver tonight at 7 ?
at what time will I be at work when I go now,2,what time will i be at work if i leave now
What is the distance between Salem and Neuberg?,1,what 's the distance between salem and newberg
When will I meet Gilbert?,2,when will i get to gilbert ?
How many hours will it take to get there?,4,how many hours will take to go to seattle
How long before we get to the haunted house on the h street,4,how long before we get to the haunted house on h street
how far away is Hawaii from the continental USA,1,how far is hawaii from the continental u.s
the shortest way from washington to montana,0,what is the shortest route from washington to montana
Is there a way I can make it to the mall before it closes?,0,is there any way i can make it to the mall before it closes ?
Distance from home to the cinema,1,distance from home to movie theatre
How long will it take to get to Elmwood Park?,4,how long will it take me to get to elmwood park zoo
there are signs of black ice on the way to Reno,5,is there signs of black ice on the way to reno
When should I leave Chris's house to get to work at 9am on Friday morning?,3,what time should i depart from chris ' house to get to work by 9 am on friday morning ?
"If I leave in an hour, how much time will I get to Portland?",2,"if i leave in an hour , what time will i get to portland ?"
Tell me where the black ice is,5,tell me where black ice advisories are
When am I expected to go to the airport?,2,when am i expected to get to the airport
Which way do I go from home to the kent state campus?,0,what direction do i head from home to get to the kent state campus ?
What is a scenic route to see the ocean in California?,0,what is a scenic route to view ocean in california
What is the traffic from home to work like?,6,what is the traffic from home to work
What's the traffic like in downtown Atlanta?,6,what is the traffic like in downtown atlanta
how far is the distance from murfreesboro to lakeland florida,1,what is the distance from murfreesboro to lakeland florida
Can you tell me how to get a universal city walk without using the i4 from my home?,0,can you tell me how to get to universal city walk without using i4 from my house
Is the icy road conditions on the i 77 this morning,5,are the any icy road conditions on i 77 this morning
Distance from home to the cinema,1,distance from home to movie theatre
"what is the quickest way to Washington, DC",0,"what is the fastest route to washington , dc"
Can I ride my bike in Fort Collins this morning because of the road conditions?,5,can i drive the bike in fort collins this morning due to the road conditions
What does my commute home look like?,6,how 's my commute home looking
When do I have to leave the house to get to the party at 5am?,3,when do i need to leave home to get to the party by 5
How long will it take to get to Cindy's house?,4,how long will it take me to get to cindy 's house ?
Fastest route home,0,fastest route home
How long will it take to get to New York by train?,4,how long will it take me to get to new york city with traffic
I can now make it to Providence in 10 minutes,2,can i make it to providence in 10 minutes right now
at what time will I be at work when I go now,2,what time will i be at work if i leave now
Tell me the distance between here and funny,1,tell me the distance between here and merrill
"If I want to make it to the city by 12 o'clock, how much time do I need to leave my house in the morning?",3,"if i want to make it to ny city by 12 pm , what time i need to leave my house in the morning"
What is the traffic like on my street today?,6,how is traffic on my street today
when should i go if i have to be in carolina ave. tooth until 3 p.m.,3,what time should i leave if i need to be at carolina ave . dental by 3 pm
I can come to the party before 6pm if I have picked up john and jose,2,can i get to the party before 6 pm if i picked up john and jose
When will I get home?,2,when will i get home
How long will it take to get to Elmwood Park?,4,how long will it take me to get to elmwood park zoo
When will I meet Gilbert?,2,when will i get to gilbert ?
Can I arrive on time for my breakfast meeting if I leave in 5 minutes?,2,can i get to my breakfast meeting on time if i leave in 5 minutes ?
How far is the airport from here?,1,how far is the airport from here
"If I want to make it to the city by 12 o'clock, how much time do I need to leave my house in the morning?",3,"if i want to make it to ny city by 12 pm , what time i need to leave my house in the morning"
How long does it take to drive from Dallas to Houston when I leave at 10 a.m.,4,how long does it take to drive from dallas to houston if i leave at 10 am
Where traffic is strongest on the way to work,6,where is traffic heaviest on the way to work
Are the paths between here and the devil's play plowed?,5,have the roads between here and the devil 's game been plowed ?
how far is portland from san francisco,1,how far is portland from san francisco
What time do I need to leave the curtain to get home at 8 o'clock this evening?,3,what time do i need to leave vail to get home by 8 tonight
How much time should I take to make it to the game by 6 p.m.?,3,what time should i leave to make it to the lakers game by 6 pm ?
"If I leave my meeting at 3: 15 p.m. and drive home on the highway, how long would it take me?",4,"leaving my meeting at 3 : 15 and taking the freeway home , how long would it take me ?"
"how far is it from the salt lake town, ut to portland, oregon",1,"how far is it from salt lake city , ut to portland , oregon"
How many hours will it take to get there?,4,how many hours will take to go to seattle
"We got a lot of rain, some local roads are closed.",5,we have got a lot of rain are there any local roads closed because of it .
When will I come to my aunt's house if I leave now?,2,when will i get to my aunt 's house if i leave now ?
Obstacles on the way to work,6,any obstructions on my way to work
What is the distance between Minneapolis and San Francisco?,1,what 's the distance between minneapolis and san francisco
how much mile between Austin and Dallas,1,how many mile between austin and dallas
How long will it take to get to edison if I leave now?,4,how much time will it take to get to edison if i leave now ?
Take me to San Antonio Texas and no toll roads?,0,take me to san antonio texas and no toll roads ?
"If I leave in 5 minutes, how long will it take to get to work?",4,if i leave in 5 minutes how long will it take me to get to work ?
When do I have to leave the house to get to the party at 5am?,3,when do i need to leave home to get to the party by 5
what is the fastest route from los angeles to san francisco,0,what is the quickest route from los angeles to san francisco
How much of this travel time is a construction-related delay?,4,how much of this travel time is a delay because of construction ?
what's the traffic driving from Glendale to Surprise,6,what is the traffic driving from glendale to surprise
ll make it home at six o'clock,2,will i make it home by six
what is the fastest route from los angeles to san francisco,0,what is the quickest route from los angeles to san francisco
"how far is it from the salt lake town, ut to portland, oregon",1,"how far is it from salt lake city , ut to portland , oregon"
Can I arrive at the bellevue until 9: 00 am under the current traffic conditions?,2,can i get to bellevue by 9 : 00 with the current traffic conditions ?
ll make it to the cinema in time,2,will i make it to the movies in time
Can I arrive at the bellevue until 9: 00 am under the current traffic conditions?,2,can i get to bellevue by 9 : 00 with the current traffic conditions ?
